Negative 	 Enna da ellam avan seyal  Mari iruku
Positive 	 Petta semaya poingudhu ,poingalukku sweet tha..
Positive 	 Im a kamal fan... but intha trailer ah evlo times pakurathu super star vera level... maga hit...
Mixed_feelings 	 Rajini is great. But the film looks like Kaala Part 2. Mokkai!
unknown_state 	 Kaalila elunthavudaneaa straight aaaa inga varavanga matum likes podunga
not-Tamil 	 luv u ರಜನಿ... luv from Karnataka
Mixed_feelings 	 Dai youtube itha trending panalaya yov petta trailer breakdownlam trending aitu irukuda paavingala
Positive 	 I watch 156 time pangal Ila petta pangal
Positive 	 Wooowww... Iraiva ivarukku age ananlum paravalla but antha energy mattum kuraithu vidathe.... Thalaivar super
Positive 	 0:26 & 2:18 Goosebumps... Onre Onru Mattam... Thalaivar... Rajni
Positive 	 sirappana Tharamana sambavatha inime thn pakka poringa
Positive 	 Kolaaaaa maaasuuuu thalaivaaaaaa!!!! Chanceyyy illaaaa thalaivaaaaa!! Vera Vera veraaaaaaa !!!   🤘
Positive 	 Super star ka super style
Positive 	 Rajani sir going to be old style padayappa style🤘
Positive 	 Rajinikanth vera level wating to watching
unknown_state 	 petta Pongal nu solravanga la hit like
Mixed_feelings 	 sila muttaalgal sonnanga.. petta VJSethupathi kaga paakaporom, Rajini kaaga illanu.. Kanna... Rajini padam na... Rajini mattum dhan
Positive 	 Age is just a number.... Thalaivaaaa......
Positive 	 Sema looks...Look like young...Am waiting to watch...Movie nalla iruko illaiyo but style semaiya iruku...
Negative 	 Y anirudh... He is just useless
Positive 	 En kadavalae Thalaivaree waiting for ur darisanam from Karnataka ..
Positive 	 thaaru maaru .. thakkali soru ...
Mixed_feelings 	 Vijay sethupathy annaku mattum thaa padam..
Positive 	 Thalaiva semma style   pakka mass
Positive 	 Karthik subbu,, verricheyal ma!!! Vaarey va
Positive 	 Superb  Rajni sir superb
Negative 	 Yaaru pa antha 39k dislike.. Uh... Bayanthuteenga pola...  antha bayam apdiye irukatum thalaivar mela...
Positive 	 Ella padathaiyum thookki sapdu thalaiva.. indha time sakkara pongal namakuthaan
Positive 	 Wov wov wov.... What a man yaaa... What a style yaaa... Trailer adhirudhu....
unknown_state 	 Kole gandle irke mavane  Kollame vidamate🤓
Positive 	 super stars jammed packed in Petta movie semma!
Positive 	 Rajani at his best  1:40
Positive 	 Semma gandle irukke mavena kollame vidamatte super thalaivare
Mixed_feelings 	 Nadi thalaiva .Aana arasiyal venam thalaiva
Mixed_feelings 	 Rajini in cinema= maasu maranam Rajini in politics= thamasu tharanum
unknown_state 	 2.08' Yarellam repeat mode. Like here
Positive 	 Rajini eh vaee sight adikaavechtangalaee..he looks handsome ,..makeupartist
Positive 	 Super thalaiva.... Nee mass dha eppavume
Positive 	 Yen Thalaivanin kaladi mannuku kuda yevannum samam illa.....
Positive 	 Back to Back Super blockbuster Movies......... First   2.0   then Petta Rajnikanth is just Amaaaaaaazing
Negative 	 Kola gaandula iruken, Mavane kollama vidamaten antha 39K dislike panninavangala.
Mixed_feelings 	 rajini sir plssss actor ah ve irundhudunga plsssss
Positive 	 semma dialogs and semma class rajini sir
Positive 	 Thalaivar antha pazhaya styloda  Thirumbi vandhittennu sollu......
Positive 	 Thalaivaruda rajini   aj avadu vj  avadu
Positive 	 Vayasanalum UN style um azhagum innum unna vittu pogala
Positive 	 Tharamana padam from thalaivar, kartik suburaj & anirudh..ponggal'ku mathe padam lam konjom othingiru..odi pathingiru vararthu thalaivaru..
Positive 	 69 now 29 thaliva nee matteum than eppavam king..petta parak
Positive 	 Vayasu analum unga style um alagum innum ungala vitu pogala....old time rajni ah pakaramariye iruku...
Positive 	 2:18 thalaivar dance repeat mode. super....!
unknown_state 	 0.55 to 0.58  Vjs
Positive 	 SUER STR      RAJNI  THE SUPER  IS BACK
Positive 	 Thalaivar is only one super one thalaivaaaaa...
Positive 	 Naadi, Narambu rathathula rajinism oori  pona oruthanaladhan ipdi eduka mudiyum
Mixed_feelings 	 Nalla iruku bt neeraya padathuda copy irukum pola ok nicccc  ena illatium vijay sethupathi ka a paakkalam
not-Tamil 	 Samaj nahi aaya kya bol Rahe hai
Positive 	 69 vayasula...yaaralayum ipdi oru style & Mass ah kaata mudiyathu....only one super star will create this magic🤩🤩🤩
Mixed_feelings 	 Na vjs kaga like pota rajini kaga Ila
Positive 	 Thalaivar summa thaaru mara irukaru 30years kami aana mari fresh nd fast intha Mari than pakkanum
Positive 	 Petta pongal     Edhu marana mass...
Positive 	 Petta pongalukku sey um vasul Vetta
Positive 	 younger look ,superstar Rajni sir, ..!!
unknown_state 	 Light working kaka pathavanga like podunga
Positive 	 Appa appa super star nu kamicha than sila peru adanguvanunga. VA thalaiva 🥰🤩🤩🤩
Mixed_feelings 	 Thalaivar ah Ile senvanna yarukaga na Padam pakanam.....
Positive 	 Enna alagu thalaiver mass super  star rajini
Positive 	 That swag @0:30, Rajini is Rajini!
Positive 	 Yethana thadava paathalum salikalaye, yena charisma ya intha aaaluku, thalaivar intha vayasulayum ground la ninu adikararu..  Paaah...
unknown_state 	 Yevalo Peru vijay sethubathi kaga trailer paka vanthenga like panunga
Positive 	 trending #1 in singapore...superstar maaaass,marannna maaasss..
Positive 	 Sweet kadaiye sapta maari iruku thalaivaa
Positive 	 2:18....awwwwwwwww what a cute style...sirusukum un style,yelusukkum un style,persukkum un style
Mixed_feelings 	 kola gaandla irukkaan mavanae kollaama vida maattaan. purinjavan purinjikkoa. puriyaadhavan purinjavan kitta kaettu therinjikkoa.
Mixed_feelings 	 caller tune la kola gaandla irukkaen mavana kollaama vidamaattaennu dialogue vechaa phone panravan reaction eppadi irukkum
Positive 	 thalaivar varum bodhu mezhuguvarthi anajadha paatheengalaa stand. irattai mezhuguvarthi simonukku tharamaana sambavam
Positive 	 1:03....rajini appa unga stylukku innnnnnnaaaa kuratchaal...ever stylish ...no one can beat you style.
Positive 	 Indha pongal thaliva oda perladhan idhu pakka
Mixed_feelings 	 Sethupathi anna va  powerfulla  kaatala nu naan matum thaan feel panrana
not-Tamil 	 Makkal seLvam Vijay Sethupathi ഫാന്‍സ് frm കേരള KeraLa
Positive 	 Pongalukku enna panna porom, Petta parkaporom
Positive 	 Paaah talaivaaaaaa style mannan iz back
Mixed_feelings 	 Rajini dhan eppovum super star. Seeman ellam waste P
Positive 	 Baasha upgraded to petta...vayasanalum style unna vittu pola thalaiva...
Negative 	 Dislike pannavanuku soothula katti varum
Positive 	 Only One The Super One Thalaivaaaaaaaaaaaa
not-Tamil 	 ರಾಜಕುಮಾರ ಅವರ ನಂತರ ಇಷ್ಟ ಪಡೊ ನಾಯಕನಟ ರಜನಿಕಾಂತ ಅವರು. ಅವರ ನೃತ್ಯ , ಮಾತು, ನಡೆ, ನುಡಿ ಎಲ್ಲಾ ಅದ್ಭುತ.
Positive 	 nalla film aya mathiyayrunnu triler super
Positive 	 vjs nna dialogueaa venam andha oru sirrippu andha getha oru sirippu  merattita brother
Negative 	 Aiyoooo intha manusanuku unmaiyave age enna nu therila pa epadi irukaru Thalapathy fans verithanam
Positive 	 Ippa enna panna porom ?   SWEET SAAPDA POROM
Negative 	 Vera level. super star Ragini  fans like hit
Positive 	 Inime tha tharamana sirapana sambavatha paaka porom expectations alluthu
Negative 	 Tha thalaivar dance ku happy ana mattum hit Like
Negative 	 Vijay sethupathi kaga indha trailer parthavanga la naanum oruvan......
Positive 	 tvaivaal aaaa aaaaaa masssa vera level tvaivaal
Negative 	 Trailer therikudhu.... Thool parakudhu... Coming pongalukku petta paaaraaak.......
Positive 	 Idhu tha SIRAPUANA THARAMANA SAMBAVAm
Positive 	 Oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga
not-Tamil 	 Kartick subburaj, celebrated Rajini like something.
Positive 	 வாவ் வாவ் ......Super star.. Santhosathala haeart nindidum pola erkku.!! Super super
Positive 	 Serial la nadika vendiyavan innum film la nadichikitu irukan
Negative 	 Entha nai da Thalaivarku vayasaaiduchu nu sonnathu Singam da
Positive 	 Adei, padatha innaikke release pannungada, illena kola gaandu ahiduvom
Negative 	 Yov ranjith idhan ya rajini  marana kaatu katanum
Positive 	 Rajini sir semma style ah irukaru... mass ....
Negative 	 ambbaaa maranamass thalivar da... Once a king is always king....
Positive 	 Wow wow wow wow wow thalaivaaaa
Positive 	 Kaali ....coming soon....marana kattu eruku .....thalaivaaaaaaa 90s kinds Rajini fansku semma mass....I love u thalaivaaaaaa
Positive 	 Thalaivar Marana Mass ATB..pppaaaa...no words to say... ayyo...ayyo... wow... hmmmm...
Positive 	 Rajini mass forever  Hit like if you agree
Positive 	 Epdi pakkanum nu aaaa patomo.. apdi iruku.. waiting thalaivaaa
Positive 	 Vijay sethupathy kku oru nalla dialogue koduththirukkalam
Positive 	 Pongalukku tharamana sambavam kaathukittu erukku... Verithanam overloaded
Positive 	 Dei Namma aalu Vijay sethupathi irukkida. Mutheeeeiiiii
Positive 	 Viswasam vs petta Like for viswasam  Comments for petta
Positive 	 super star na aathu thalaiver mattum tha vera evanu kidaiyathu petta pongal petta parak
Positive 	 Yow ...indha alaluku vaisu agave illa ya da apudiye irukaru....
Positive 	 deivamae neenga eppaium illamai ya irukura evergreen superstar i love u thalaivaaaaaaaaaa
Negative 	 Innime tha tharamana sirapana sambavam pakka porom
Negative 	 Thalaivarrr swag  Vera level energy 🤘
Positive 	 Marana mass maranu athu gu super star tha vare nu
Negative 	 Ippo enna panna porom sweet saapda porom
Positive 	 Kandipa intha pongal ku sweet sapida porom
Positive 	 Thalaiva I love u .trailer vera level mass
Negative 	 Verithanama irukku trailer Varuvathu Thalaivar petta Parak..
Positive 	 Basha back   thalaivaaa i love you🤘🤘🤘
Positive 	 Semma Na Thalapathi fan sathiyama solran vera level la irruku
Negative 	 Kolla gaandla iruken, kollama vida maten......
Mixed_feelings 	 First Rajini sir and Nana Patekar sir... And Now Rajini sir + Nawazuddin siddiqui.. What does else we want
Mixed_feelings 	 Rajni 0:58 is superb style king daaaa
Negative 	 Flat  proud to be a talaivar fan ! Rajinified ! Sirapana taramana sambavatha inimethan paka porom !
Positive 	 Viswasam enna aaka pokutho...  Pongal avalavum thaanah
Positive 	 Yow ennaya trailer la vere level la irukku padam pathae agum polaya first day va apo
Negative 	 Sirapana tharamana sambavam paka waiting thalaiava....
Positive 	 My age 18 I am rajini fan
Negative 	 ippo yenna panna porom??? suweet sapida poram
Negative 	 Kola gaandule iruken mavane kollame vidamaten thalaivar vere level
Negative 	 Namma inga summa like mattum pottu avanuku value ethi vidrom
not-Tamil 	 Best of luck superstar  Malyali lalettan fans
Positive 	 Mavane! Kola Kandula iruken! Petta parak
Positive 	 Petta baraak  frame by frame sedhukki vachirukanga
Positive 	 Rajani is back with a bangggg
Positive 	 1:41 mmmm... Ok          SUPER
Negative 	 Kola Gandula irukan mavanae Kollama Vida Maten. Got RAJINIFIED
Negative 	 Thalaivarku etha Seriyana villan Namba Sethu thaan
Negative 	 Awesome trailer ,get RAJINIFIED Rajini Fans hit like
Positive 	 paka thana pora intha kali oda attahatha... thalivaaa
Negative 	 Realy trailer marana massa iruku iam waiting petta
Negative 	 Avan ovuru paduthukum 40 crore nu vaangran
Negative 	 I'm very very very happy
Negative 	 sathyama soldren adichii underware oda oda vittruven mannam pona tirumbi varadhu pongal paraak nanga than rajini than geathu
Negative 	 Blockbuster ...pakka...Vijay sethupathi,bobby simha,nawazuddin and RAJNI...yappa super cocktail
not-Tamil 	 We want our rajini KANTH Peta Telugu trailer
Negative 	 3.7k dislike katharalas 🤣🤣🤣 Konjam OthingiruOdi PathingiruVarathu ThalaivaruPetta Paraak
Negative 	 To Haters: Ungalku comfortable-a illana, neenga kanna mudikalam!
Negative 	 enathaku da dislike pannringa. Edhoda oru gethu trailer irukka vaipae illa!
Mixed_feelings 	 Idhu tha enga thalaivar padaiyappa padutukku apparam marubadiyum naan rasikkum rajini..........thanks thalaiva & kartick subburaj.....
Mixed_feelings 	 Vijay Sethupathi ke ino build up panirkalaam
Mixed_feelings 	 Thalaivar adutha round ku ready akidaru da doiiiiiii
Mixed_feelings 	 ENTHA PADATHALAYUM THALAIVARA IVALAVU YOUNGA KATTUNATHU ILLA
Negative 	 Dei...yaarra andha 3.4k haters.... ungala paatha sirippu dhan varudhu...thalaivar... promoted to GOD LEVEL...PETTA PARRRRAAAAAK!!!!
Negative 	 Thalaivar Vera lvl .... thalaivar eppavume Vera level MASSUUU dhanda.....indha pongal therikka vudrom.....
Negative 	 Woww Rajini garu  Rajiji fans hit like
Positive 	 Marana massthaan ithaan.Thalaiver soon sweet sapdaporam
Positive 	 Yov.. karthik subburaj... Ena ya pani vachiruka... Ovoru scene um vera level ya...
Positive 	 THALAIVAR ku vayasu achunu evanda sonnathu aiyoo aiyoo inna youngu
unknown_state 	 Thalaiva vere leval  Kerala fans
Negative 	 Thalaivaaaaaaaaaaaa....... unney Marupadiyum ....Adthy stylil ......Kondattaammmmmthannn
Positive 	 Makkal selvan Vijay sedhupathy fans hit like
Positive 	 Nala eruku nalatha eruku adaaa nalathayea eruku
Mixed_feelings 	 Ennada 11 maninu sollitu 10 raikae vittuteengaa
Negative 	 1.55 watching again and again   Kolakandula erukan kolama vidamatan
Negative 	 Satthiyama Solren.. Adichu underwaer-oda oda vuttuduven.. manam pona thiruppi varadhu.. paathukko..
Negative 	 Ommalaaaa vangada eppo....ethu unmayave thalaivar pongal daa mavane...gethu
Negative 	 Gommaale haters appidiye vandhu Mandi pottu oombungadaaw thevudiya pasangalaa...
Positive 	 . Thalaivaaaaaaaaa.        I love you
Positive 	 Kola gandula irrukuken mavaney kollama vida maten mass Thaliava
Negative 	 Thalaivar semma style marana mass adichi underwear oda odda vituduven
Negative 	 Kola gandu le irruken mavane kollama vida maaten - Kaali message to all
Negative 	 Super star amazing i m waiting
Negative 	 Rajini oda DNA va save panni veinga pa. ivaru madhri innoruthar vara maataru
Positive 	 Ayyyo thalaialva Vera lvl confirm ellaflrume RAJINIFIED
Positive 	 Trailer Vera level iruku 90's rajini back,karthick suburaj ku romba nandri
Negative 	 Ipo enna panna porom?  Sweet sapda porom  Thalaivaaa
Negative 	 Aiyo simran evlo cute, Thalaivar pakka mass! Enaku ipave pakanum pola iruke
Negative 	 Thalaivar thalaivar dhan ya !!!! <3 enna energy, enna maasu.. Mmale kola veri
Positive 	 Repeat mode Hit Like ...
Positive 	 Thalavai nee vera lvl Thalaiva 🤙
Negative 	 Vera Level bgm and stylish Vikram sema mass....
Positive 	 Vikram sir neenga Vera level sir
Positive 	 my Chiyaan anna masssssss Love you anna
Negative 	 Vikram ella styleum set aaguthu.. Namba moonji ku maatum yenda set aagala
Negative 	 1:36 U kena tunggu lebih lama lagi, untuk tahu saya...
Negative 	 You kene tunggu lebih lama lagi untuk tau saya!!vikram speaking malay is all i need!!
Positive 	 Stylish chiyan vikram sir i love you sir
Negative 	 Vera Level trailer...marana mass look Thalaiva....
Negative 	 Vikram look like Bryan in Tekken game!
Negative 	 Last tamil subtitle yaaru rewind panni padichinga like podunga
Positive 	 Ippo dhaan yaa korean padam maari seriya eduthu irukinga
Positive 	 Mass chiyaan vikram anna vera level trailer
Positive 	 Chiyaan malay was lit Kl guys like
Positive 	 Malaysia Tamil fans waiting for Kadaram Kondan movie Chiyaan Vikram, Kamal Haasan fans hit like here
Negative 	 Yanaku thearinja varaikum pdam flop agum nu neanakira
Negative 	 Neenga vilayaadunathu engita illa Eman kitta chiyaan rocks
Negative 	 What a man chiyan 53 age Partha apdiye iruku any way waiting
not-Tamil 	 chiyaan vikram hindi fans like here
Positive 	 semma I love you vikram Anna
Negative 	 Neenga modardhu enkitta Ila yeman kitta
Positive 	 Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga
unknown_state 	 Chiyan vikram fanse from kerala
Mixed_feelings 	 Enna porutha varaikum vikram sir edhu pannalum pakkalam avarudaiya dedication kaga.....
Negative 	 Ne vilayaadunathu ea kitta ila..yeman kitta..kola mass trailar..chiyan vera level pa
not-Tamil 	 ahahaha . Gautam Vachusiyum Menon   presents  Dooooooooooooooooooooooohra Natchathiram ...ENGA PAA
Mixed_feelings 	 Ennada nadakuthu.. Inga.. Onnum puriyala.. But semaya iruku
Negative 	 I think Chiyaan is back...
Negative 	 Kadaram kondan trailer vera level kk movie Mariana waiting
Positive 	 Mega all time blockbuster movie Vikram sir
Positive 	 Chiyan vikram fans  Hit like bgm likers
Positive 	 Trailer Nlam Nalla Dhan Iruku Padam Oduna Pothum Chiyaan My FaV
Mixed_feelings 	 U kena tunggu lebih lama lagi, untuk tahu saya!!!  Damn, Chiyaan Vikram speaking Malay....  WAITING DAA SAAMY...
Positive 	 Legend of chiyaan vikarm  Vera level  Anna......
Positive 	 Hope this is not like Viswasam 🤔🤔
Positive 	 Vera leval
Negative 	 Trailer Ku teaser paravala nanaikuravaga oru like poduga
Negative 	 Kamalah kanu aprm endah perah munadi podringah?
Positive 	 Eanga chiyan vikaram yappo maa mass da
Negative 	 Vikram paiyen hero va namba mudiyalaa
Positive 	 BGM Vera level going hike ghibran......
not-Tamil 	 U kena tggu lebih lama lagi utk tahu saya
Positive 	 Mass ah iruku chiyan epovum masss dhan acting king
Positive 	 Mass iruku eppo entha padam varum I love u vikram
Mixed_feelings 	 Vikram sir great Hollywood actor taan neenga.. Enaya inda manushan ipd irkaru
